image_path,description
bracelet\$_3.jpeg,A bronze bracelet featuring a golden sphere between two stylized wings.
bracelet\00G0FPIT4D9J.jpg,"A stack of eight bracelets in varying shades of blue and silver, featuring beads, stones, and metallic elements."
bracelet\01D7PTXV8C7F.jpg,"A pair of matte black metal cuff bracelets, one engraved with ""MG,"" shown open and closed."
bracelet\02G14031IMEF.jpg,"A gold-toned bangle bracelet encrusted with small, amber-colored crystals, featuring small clear crystal accents at each end."
bracelet\031Q9F07X716.jpg,A gold bracelet with a lion's head centerpiece and intricate detailing on a textured gold background.
bracelet\03WI4QOA9EUK.jpg,"A silver Pandora bracelet with a row of small, light-yellow cubic zirconia stones and a sliding clasp."
bracelet\077K4K2JBEWE.jpg,A rose gold bracelet adorned with clear crystal marquise-shaped stones arranged in a floral pattern.
bracelet\09T1R2G1IRZ0.jpg,A gold sparkly double wrap bracelet with small gold end caps.
bracelet\0DGXDB6HD6LX.jpg,A delicate gold chain bracelet featuring a textured square charm and a rectangular rose quartz gemstone.
bracelet\0FB6U4NLW1KR.jpg,A delicate silver bracelet with small diamonds and a central circular diamond bezel setting.
bracelet\0J4OHJWD35A8.jpg,"A delicate silver bracelet with a filigree design featuring repeating butterfly motifs, adorned with small, sparkling diamonds."
bracelet\0JOVO66NH8NZ.jpg,"A bronze cuff bracelet engraved with ""I LOVE YOU""."
bracelet\0LMDJG11WE0S.jpg,"Close-up of a black, studded elastic bracelet."
bracelet\0TW1LGMLRAWX.jpg,"A delicate gold necklace featuring a cluster of irregularly shaped, off-white gemstones."
bracelet\0UFSYZ217O51.jpg,A rose gold bracelet with a white ceramic and rose gold central element on a textured chain.
bracelet\0X8F0EH1FXYE.jpg,A silver Alex and Ani Hogwarts house charm bangle bracelet.
bracelet\10047527649310.jpg,Gold beaded bracelet with two large golden pearls and diamond accents.
bracelet\100UP9VF7WMN.jpg,A sterling silver Tiffany & Co. heart tag bracelet on a white background.
bracelet\10530C32BLTK.jpg,A delicate rose gold intertwined hearts charm bracelet on a dark brown cord.
bracelet\17SPDO6HO14K.jpg,"Three delicate gold, rose gold, and silver bar bracelets with engraved personalized messages lie intertwined on a white background."
bracelet\18ct-white-gold-2-row-akoya-pearl-0-92ct-diamond-bracelet-p875-4916_image.jpg,A double-strand pearl bracelet with a diamond clasp.
bracelet\1CIZFWA6KG94.jpg,"A gold bracelet with intricately carved, leaf-shaped beads linked by delicate chains."
bracelet\1DFX4SUBN7IJ.jpg,"A gold bracelet with a personalized nameplate reading ""Emily"" and a beaded clasp."
bracelet\1EJ4YT88W2FA.jpg,A close-up shot of a silver twisted rope bracelet with a small ball clasp.
bracelet\1IFBWI02T4UC.jpg,"A delicate rose gold adjustable bracelet adorned with a cluster of clear, marquise-shaped cubic zirconia stones."
bracelet\1KN3NNCZUKM9.jpg,"A black cord bracelet with a silver diamond-shaped charm featuring the initials ""HMP"" and ""V"" in a minimalist design."
bracelet\1M7ISACWQ2FJ.jpg,A rose gold Cartier Juste un Clou bracelet paved with diamonds.
bracelet\1NLZL9TQ1RBN.jpg,"A wide, silver cuff bracelet with a gold border, featuring a repeating geometric floral cutout pattern."
bracelet\1PC34DAV4UVT.jpg,"A gold bracelet with three charms, including one with small diamonds, on a snake chain."
bracelet\1R2J7ROMA59G.jpg,A delicate gold chain bracelet adorned with a cluster of irregularly shaped white pearls.
bracelet\1RLNDZXWU9XM.jpg,A sterling silver curb chain bracelet with a double heart toggle clasp.
bracelet\1SY23F78RJG6.jpg,A gold bracelet with channel-set diamonds in a geometric pattern.
bracelet\1TNK1GV62F5L.jpg,A silver Pandora bracelet with a clasp showing the Pandora logo.
bracelet\1U7C9X4MCZSN.jpg,"A silver bracelet crafted from a repurposed spoon, adorned with floral details and a central silver bead."
bracelet\20WQIS8HSYW8.jpg,"A close-up shot of a men's layered bracelet featuring black leather, metal studs, and black and silver beads on a white background."
bracelet\21IWBZI4BZEC.jpg,A close-up shot of a multi-layered beige and silver bracelet adorned with rhinestones and a feather charm.
bracelet\22O1ZFD6TSKL.jpg,A dazzling tennis bracelet featuring a continuous row of brilliant-cut diamonds set in a gleaming white metal.
bracelet\2DDDCOBDYJV4.jpg,A stunning tennis bracelet featuring a row of brilliant-cut diamonds set in a white gold or platinum setting.
bracelet\2DMYQ69DDX5B.jpg,A triple-strand pearl bracelet with a diamond clasp.
bracelet\2DP6FEGXVJ1Q.jpg,"Three-strand bracelet with sunstone, moonstone, and milky quartz oval beads, silver clasp and charm."
bracelet\2JHIRBNXUYR7.jpg,A delicate gold chain bracelet featuring a teal oval gemstone and a small cutout charm.
bracelet\2ULFR5D7UYLB.jpg,A silver curb chain bracelet with a blank rectangular tag flanked by cherubic angel figures.
bracelet\2WGZHVH8O1V3.jpg,A close-up shot of a teal and green Pura Vida bracelet with a beige cord and silver charm.
bracelet\2XJ1BV7UBEN6.jpg,A gold bangle bracelet with a white mandala charm and small gold charms.
bracelet\2YCJBDMHEP98.jpg,"A silver bangle bracelet with charms featuring paw prints, a bone, and hearts engraved with ""You Had Me At Woof"" and ""My Dog""."
bracelet\34CUB6GAXYUF.jpg,A close-up shot of a silver double-link charm bracelet with a small safety chain.
bracelet\365-00492_1400x.jpg,"A single, large pearl centered on a black cord necklace against a white background."
bracelet\37CIREKOGY4M.jpg,A sterling silver bracelet with three rose gold infinity charms.
bracelet\38K6GYXUXK29.jpg,"Two beaded bracelets, one light green with a tree of life charm, the other teal, lie side-by-side on a gray surface."
